,timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience
4991,2021-04-27 12:53:41,45-54,Education (Higher Education),Associate professor,,109366,0.0,CAD,,,Canada,,Sherbrooke,11 - 20 years,11 - 20 years,PhD,Woman,White,88156.79699496608,11
4992,2021-04-27 12:53:41,25-34,Health care,Resident Physician,Family medicine doctor in training,56400,0.0,USD,,,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,56400.0,2
4993,2021-04-27 12:53:42,25-34,Computing or Tech,Senior Software Developer,,115000,0.0,USD,,,USA,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,White,115000.0,5
4994,2021-04-27 12:53:46,35-44,Education (Primary/Secondary),Director of Human Resources,,77000,0.0,USD,,,US,Pennsylvania,York,11 - 20 years,11 - 20 years,College degree,Woman,White,77000.0,11
4995,2021-04-27 12:53:47,25-34,Computing or Tech,COO,,140000,0.0,USD,,,USA,New York,Brooklyn,8 - 10 years,5-7 years,Master's degree,Woman,White,140000.0,5
4996,2021-04-27 12:53:47,25-34,Computing or Tech,Site Reliability Engineer,,82500,6000.0,CHF,,,Switzerland,,Lausanne,5-7 years,2 - 4 years,Master's degree,Woman,Middle Eastern or Northern African,96820.24801299688,2
4997,2021-04-27 12:53:48,25-34,Health care,Data Analyst,,60000,0.0,CAD,,,Canada,,Toronto,5-7 years,5-7 years,Master's degree,Man,Another option not listed here or prefer not to answer,48364.27975511553,5
5000,2021-04-27 12:53:56,25-34,Computing or Tech,Web Design and Front-end Developer,"I perform duties that often fall under separate roles at other companies, like UI/UX design, graphic design, web interaction development, coding, and light web programming.",42640,410.0,USD,,,United States,Wisconsin,Menomonie,8 - 10 years,5-7 years,College degree,Woman,White,43050.0,5
5001,2021-04-27 12:54:02,35-44,Law,client service coordinator,I do complicated billing procedures for specific high volume clients,44000,2000.0,USD,,,United States,Tennessee,Chattanooga,11 - 20 years,8 - 10 years,College degree,Woman,White,46000.0,8
5002,2021-04-27 12:54:03,35-44,Health care,Administrative Director,,70500,500.0,USD,,,United States,Texas,Plano,11 - 20 years,8 - 10 years,College degree,Woman,White,71000.0,8
5003,2021-04-27 12:54:04,35-44,Government and Public Administration,Research Scientist,,120000,0.0,USD,,,US,Ohio,Dayton,11 - 20 years,11 - 20 years,Master's degree,Man,White,120000.0,11
5004,2021-04-27 12:54:06,55-64,Government and Public Administration,Planning Manager,"Manage the Planning Dept for a City of Approx. 80,000 in CA",109000,0.0,USD,,,u.s.,California,Merced,31 - 40 years,31 - 40 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",109000.0,31
5005,2021-04-27 12:54:07,18-24,Engineering or Manufacturing,Applications Engineer,,75000,21000.0,USD,,,United States,Florida,Cape Canaveral,2 - 4 years,2 - 4 years,College degree,Woman,White,96000.0,2
5007,2021-04-27 12:54:14,35-44,Government and Public Administration,Policy Advisor,mid-level policy advisor working directly with political appointees under the supervision of more experienced advisors.,101000,0.0,USD,,,USA,Virginia,Arlington,11 - 20 years,11 - 20 years,Master's degree,Woman,White,101000.0,11
5008,2021-04-27 12:54:18,45-54,Education (Higher Education),Assistant Professor,"Biology, community college",45000,10000.0,USD,,,USA,Missouri,Rolla,11 - 20 years,11 - 20 years,PhD,Woman,White,55000.0,11
5009,2021-04-27 12:54:20,35-44,"Accounting, Banking & Finance",Accounts Payable Processor,,40000,0.0,USD,,,USA,Tennessee,Nashville,5-7 years,5-7 years,College degree,Woman,White,40000.0,5
5010,2021-04-27 12:54:22,25-34,Education (Primary/Secondary),Director of Content Learning,Education nonprofit,77250,0.0,USD,,,USA,California,Oakland,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",77250.0,8
5012,2021-04-27 12:54:25,35-44,Nonprofits,Managing Editor,,95000,2000.0,CAD,,,Canada,,Ottawa,8 - 10 years,8 - 10 years,PhD,Woman,Asian or Asian American,78188.91893743677,8
5013,2021-04-27 12:54:26,35-44,Engineering or Manufacturing,Sr Engineering Manager,,159000,20000.0,USD,,,USA,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American,179000.0,11
5015,2021-04-27 12:54:29,35-44,"Marketing, Advertising & PR",Director of Communications and Government Affairs,,68500,10000.0,USD,,,United States,Tennessee,Nashville,11 - 20 years,11 - 20 years,College degree,Woman,White,78500.0,11
5016,2021-04-27 12:54:30,45-54,Engineering or Manufacturing,R&D Lab Manager,,125000,20000.0,USD,,,US,North Carolina,-,21 - 30 years,21 - 30 years,Master's degree,Man,White,145000.0,21
5017,2021-04-27 12:54:33,35-44,"Marketing, Advertising & PR","Vice President, Marketing",,198000,5000.0,USD,,,U.A.,California,Irvine,21 - 30 years,21 - 30 years,College degree,Woman,White,203000.0,21
5018,2021-04-27 12:54:35,35-44,Education (Higher Education),Instructional Technologist,,56000,0.0,USD,,,United States,Arizona,Tucson,11 - 20 years,2 - 4 years,Master's degree,Woman,White,56000.0,2
5019,2021-04-27 12:54:39,25-34,Nonprofits,Program Manager,,98000,0.0,USD,,,United States,Oregon,Portland,8 - 10 years,5-7 years,Master's degree,Woman,White,98000.0,5
5020,2021-04-27 12:54:42,35-44,Education (Higher Education),Student Services Coordinator,Academic Advisor,48790,0.0,USD,,,United States,North Carolina,Durham,11 - 20 years,11 - 20 years,Master's degree,Woman,White,48790.0,11
5021,2021-04-27 12:54:48,35-44,Education (Higher Education),Assistant Professor,,75000,15000.0,USD,,"Graduate Program Director Stipend, teaching overloads account for additional compensation.",USA,Mississippi,Not disclosed,5-7 years,5-7 years,PhD,Woman,White,90000.0,5
5022,2021-04-27 12:54:48,35-44,Media & Digital,Director of Marketing,,140000,0.0,USD,,,U.S.A,District of Columbia,"Washington, D.C",11 - 20 years,8 - 10 years,Master's degree,Woman,White,140000.0,8
5023,2021-04-27 12:54:51,35-44,Government and Public Administration,Environmental Specialist,Project management and technical work,75000,0.0,USD,,,United States,Minnesota,St. Paul,11 - 20 years,11 - 20 years,College degree,Woman,White,75000.0,11
5024,2021-04-27 12:54:54,55-64,Education (Primary/Secondary),Math Teacher,,97000,0.0,USD,,,United States,Massachusetts,Marlborough MA,31 - 40 years,11 - 20 years,PhD,Woman,White,97000.0,11
5025,2021-04-27 12:54:55,25-34,Nonprofits,Production Analyst,"My role is a little bit coding, a little bit graphics, a little UX — I'm sort of a middleman for a lot of different aspects of our product.",50000,0.0,USD,,,USA,New York,New York,8 - 10 years,2 - 4 years,College degree,Woman,White,50000.0,2
5026,2021-04-27 12:54:57,25-34,Government and Public Administration,Reference Librarian,,52500,0.0,USD,,,United States,Virginia,Richmond,8 - 10 years,8 - 10 years,Master's degree,Woman,White,52500.0,8
5027,2021-04-27 12:54:57,45-54,"Marketing, Advertising & PR",Copy editor,,60000,0.0,USD,,,U.S.,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Prefer not to answer,"Asian or Asian American, White",60000.0,11
5028,2021-04-27 12:54:57,55-64,Computing or Tech,Technical Writer,,100000,0.0,USD,,,USA,Utah,Park City (remote/WFH),21 - 30 years,21 - 30 years,College degree,Woman,White,100000.0,21
5029,2021-04-27 12:54:58,35-44,"Marketing, Advertising & PR",Freelance Marketing Consultant,,60000,0.0,USD,,,USA,Maryland,Gaithersburg,8 - 10 years,5-7 years,College degree,Woman,White,60000.0,5
5030,2021-04-27 12:54:58,25-34,Nonprofits,Salesforce Administrator,,50000,0.0,USD,,,USA,Massachusetts,Boston,5-7 years,2 - 4 years,College degree,Non-binary,White,50000.0,2
5031,2021-04-27 12:55:03,25-34,Engineering or Manufacturing,Parts Analyst,Mostly customer service to keep our customers up and running,53000,0.0,USD,,,USA,Ohio,Dayton,8 - 10 years,8 - 10 years,Some college,Man,White,53000.0,8
5032,2021-04-27 12:55:05,35-44,Government and Public Administration,Education & Training Coordinator,,117000,0.0,USD,,,USA,Maryland,"Linthicum, MD",11 - 20 years,11 - 20 years,College degree,Woman,White,117000.0,11
5034,2021-04-27 12:55:11,45-54,"Accounting, Banking & Finance",Market Manager,,220000,50000.0,USD,,,United States,District of Columbia,Washington,21 - 30 years,21 - 30 years,High School,Man,"Hispanic, Latino, or Spanish origin",270000.0,21
5037,2021-04-27 12:55:22,35-44,Education (Higher Education),Director of Technical Services,"This is in an academic library, R1 institution",85000,0.0,USD,,,United States,Texas,Austin,11 - 20 years,11 - 20 years,Master's degree,Woman,White,85000.0,11
5038,2021-04-27 12:55:27,45-54,Health care,Office manager,,52000,3000.0,USD,,,US,Illinois,Lake Zurich,21 - 30 years,21 - 30 years,High School,Woman,White,55000.0,21
5042,2021-04-27 12:55:38,25-34,Education (Higher Education),University Archives Assistant,archivist/librarian,30992,500.0,USD,,,United States,Tennessee,Knoxville,8 - 10 years,8 - 10 years,Master's degree,Woman,White,31492.0,8
5043,2021-04-27 12:55:40,35-44,Engineering or Manufacturing,Director of Sustainability,,135000,3000.0,USD,,,USA,New York,New York,11 - 20 years,8 - 10 years,College degree,Man,White,138000.0,8
5044,2021-04-27 12:55:40,35-44,Computing or Tech,Business Analyst,,65000,4500.0,USD,,,United States,Ohio,Columbus,11 - 20 years,5-7 years,College degree,Woman,White,69500.0,5
5045,2021-04-27 12:55:41,25-34,"Accounting, Banking & Finance","Vice President, Asset Management",Real Estate Asset Management,135000,30000.0,USD,,,US,Georgia,Atlanta,11 - 20 years,8 - 10 years,College degree,Woman,White,165000.0,8
5046,2021-04-27 12:55:42,25-34,"Marketing, Advertising & PR",Freelance content writer,"Self employed writing digital content, mostly marketing content for small to medium sized companies",60000,0.0,USD,,,USA,New York,Beacon,8 - 10 years,5-7 years,College degree,Woman,White,60000.0,5
5047,2021-04-27 12:55:42,25-34,Engineering or Manufacturing,Engineering Associate II,,58000,6000.0,USD,,Bonus work is voluntary and variable,USA,North Carolina,Raleigh (remote out of VA),2 - 4 years,2 - 4 years,College degree,Woman,White,64000.0,2
5051,2021-04-27 12:55:49,35-44,"Accounting, Banking & Finance",bookkeeper,,62500,6500.0,USD,,,usa,Washington,seattle,11 - 20 years,5-7 years,Some college,Woman,White,69000.0,5
5054,2021-04-27 12:55:53,25-34,Computing or Tech,Software Engineer,,230000,500000.0,USD,,"The ""additional monetary compensation"" is stock options and RSUs. It's semi-temporary but not unusual. Silicon Valley late-stage startups try to pay their employees about 50% of their compensation in stock options or RSUs.",USA,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Man,White,730000.0,11
5055,2021-04-27 12:55:54,35-44,Health care,Specimen Processing Trainer,"
",53000,10000.0,USD,,,US,Georgia,Atlanta,8 - 10 years,5-7 years,Some college,Man,White,63000.0,5
5056,2021-04-27 12:55:55,25-34,Health care,Administrative Assistant,,56000,500.0,USD,,They also fund my HSA to more than half my deductible,United States,Washington,Seattle,11 - 20 years,1 year or less,College degree,Woman,White,56500.0,1
5057,2021-04-27 12:55:56,25-34,Nonprofits,Program Manager,,75000,0.0,USD,,,USA,Washington,Seattle,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",75000.0,5
5058,2021-04-27 12:55:56,45-54,Education (Higher Education),Library paraprofessional,Rare books cataloger,60000,0.0,USD,,,USA,Pennsylvania,Philadelphia,21 - 30 years,21 - 30 years,PhD,Woman,White,60000.0,21
5059,2021-04-27 12:55:58,35-44,Government and Public Administration,Contract Administrator,,83000,0.0,USD,,,USA,Massachusetts,Boston,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American,83000.0,8
5060,2021-04-27 12:56:00,18-24,Business or Consulting,Senior Research Analyst,lowest level entry position at a small consulting firm,66000,0.0,USD,,"on my W2 with all the value of benefits and stuff (401K matching and such) I came in at 69,000",United States,Virginia,Falls Church,2 - 4 years,2 - 4 years,College degree,Woman,White,66000.0,2
5061,2021-04-27 12:56:01,35-44,Health care,Executive Assistant,,89000,6000.0,USD,,,United States,California,Oakland,11 - 20 years,11 - 20 years,College degree,Man,White,95000.0,11
5062,2021-04-27 12:56:06,25-34,Nonprofits,Operations Director,,72000,0.0,USD,,,United States,Alaska,Juneau,8 - 10 years,2 - 4 years,Master's degree,Woman,White,72000.0,2
5063,2021-04-27 12:56:08,35-44,Government and Public Administration,Communication Specialist,,92000,10000.0,USD,,"Addition compensation is ""rebate"" for unused benefits allowance",United States,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American,102000.0,11
5064,2021-04-27 12:56:08,35-44,Engineering or Manufacturing,Senior Supervisor,Business/Operations Leader,102000,10200.0,USD,,,USA,Connecticut,North Haven,11 - 20 years,5-7 years,Master's degree,Woman,White,112200.0,5
5066,2021-04-27 12:56:12,25-34,Government and Public Administration,Branch Manager,Manager of a public library,35570,0.0,USD,,,United States,Georgia,Ball Ground,5-7 years,5-7 years,Some college,Woman,White,35570.0,5
5069,2021-04-27 12:56:28,25-34,Government and Public Administration,Executive Assistant/Social Media Coordinator,,61854,0.0,USD,,,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,High School,Woman,Asian or Asian American,61854.0,8
5072,2021-04-27 12:56:34,35-44,Engineering or Manufacturing,Operations Manager,,131950,3000.0,USD,,,US,Michigan,Detroit,11 - 20 years,11 - 20 years,Master's degree,Woman,White,134950.0,11
5074,2021-04-27 12:56:37,35-44,Education (Higher Education),Director of International Student and Scholar Services,,70000,0.0,USD,,,US,,Minneapolis,8 - 10 years,8 - 10 years,Master's degree,Woman,White,70000.0,8
5075,2021-04-27 12:56:39,35-44,Government and Public Administration,Document Specialist,"We convert customer-supplied docs to XML and then to PDFs, provide copy editing and formatting services, upload final docs to a database and maintain that database. Search said databases for out-of-date info (hence the XML--easier to search) so customer knows what docs need updating.",61000,100.0,USD,,,USA,Maryland,Baltimore,11 - 20 years,5-7 years,College degree,Woman,White,61100.0,5
5076,2021-04-27 12:56:40,25-34,Computing or Tech,Software engineer,,122000,80000.0,USD,,"Most of the ""other"" is stock grants",United States,Colorado,Denver,8 - 10 years,5-7 years,College degree,Woman,White,202000.0,5
5078,2021-04-27 12:56:45,25-34,Computing or Tech,QA Analyst,Manual software testing,37000,0.0,GBP,,,UK,,WFH,8 - 10 years,2 - 4 years,College degree,Woman,White,51449.62803309463,2
5080,2021-04-27 12:56:46,25-34,"Marketing, Advertising & PR",Content Marketing Specialist,,58762,0.0,USD,,,United States of America,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White,58762.0,5
5082,2021-04-27 12:56:59,25-34,"Marketing, Advertising & PR",Senior Graphic Designer,,75000,0.0,USD,,,United States,Oregon,Portland,8 - 10 years,8 - 10 years,College degree,Woman,White,75000.0,8
5083,2021-04-27 12:57:00,45-54,"Marketing, Advertising & PR",Senior Director of SEO,,100000,18000.0,USD,,,US,California,Los Angeles,21 - 30 years,11 - 20 years,Master's degree,Woman,White,118000.0,11
5084,2021-04-27 12:57:01,45-54,"Accounting, Banking & Finance",Senior Accountant,,70200,0.0,USD,,,United States,Illinois,Elgin,21 - 30 years,11 - 20 years,College degree,Woman,White,70200.0,11
5087,2021-04-27 12:57:06,35-44,"Accounting, Banking & Finance",bookkeeper,,62500,6500.0,USD,,,usa,Washington,seattle,11 - 20 years,5-7 years,Some college,Woman,White,69000.0,5
5088,2021-04-27 12:57:07,25-34,"Accounting, Banking & Finance",Financial Analyst,,62000,0.0,USD,,"There haven't been any bonuses or yearly performance raises in the time I've worked here due to decreased profits two years ago, and COVID last year. This year will be the first year since I've been here that I'll be getting a bonus and a performance raise.",U.S.,Michigan,Metro Detroit area,2 - 4 years,2 - 4 years,College degree,Woman,White,62000.0,2
5089,2021-04-27 12:57:08,25-34,Nonprofits,Program Manager,,80000,0.0,USD,,,US,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,White,80000.0,8
5090,2021-04-27 12:57:14,25-34,Nonprofits,Manager of Data Engineering,I work in an education non-profit,90000,0.0,USD,,,United States,California,San Francisco,8 - 10 years,8 - 10 years,College degree,Woman,"Native American or Alaska Native, White",90000.0,8
5092,2021-04-27 12:57:16,25-34,Education (Higher Education),"Assistant Director, Stewardship",,64000,0.0,USD,,,United States,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,White,64000.0,5
5093,2021-04-27 12:57:19,25-34,Law,Lawyer,,95000,25000.0,CAD,,Bonus applies to percentage of collected billings beyond a certain threshold,Canada,,Vancouver,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Asian or Asian American,96728.55951023106,2
5095,2021-04-27 12:57:27,45-54,Education (Higher Education),Associate Vice President Students,,155000,0.0,CAD,,,Canada,,Greater Toronto Area,21 - 30 years,21 - 30 years,PhD,Woman,White,124941.05603404844,21
5096,2021-04-27 12:57:30,35-44,Engineering or Manufacturing,Principal Industrial Engineer,,120000,25000.0,USD,,,United States,Minnesota,Minneapolis/St Paul,11 - 20 years,11 - 20 years,College degree,Woman,White,145000.0,11
5097,2021-04-27 12:57:32,25-34,Law,Assistant Attorney General,,70019,0.0,USD,,My salary reflects that of a first-year attorney because there was a budget freeze last year--it usually increases with experience,USA,New York,New York,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,70019.0,2
5099,2021-04-27 12:57:36,45-54,Education (Higher Education),Senior Associate Registrar,,80145,0.0,USD,,,USA,Delaware,Newark,21 - 30 years,21 - 30 years,PhD,Woman,White,80145.0,21
5100,2021-04-27 12:57:37,35-44,"Accounting, Banking & Finance",Senior Accountant,,76500,10000.0,USD,,,United States,Virginia,Richmond,11 - 20 years,8 - 10 years,College degree,Woman,White,86500.0,8
5101,2021-04-27 12:57:39,45-54,"Marketing, Advertising & PR",Group Art Supervisor,,135000,0.0,USD,,,US,New Jersey,Parsippany,11 - 20 years,11 - 20 years,College degree,Woman,White,135000.0,11
5102,2021-04-27 12:57:42,45-54,Engineering or Manufacturing,Senior Project Coordinator,,65000,0.0,USD,,,USA,Washington,Seattle,21 - 30 years,11 - 20 years,College degree,Woman,"Asian or Asian American, White",65000.0,11
5103,2021-04-27 12:57:48,25-34,Nonprofits,Administrator,,60000,0.0,CAD,,,Canada,,Vancouver,11 - 20 years,11 - 20 years,Master's degree,Woman,White,48364.27975511553,11
5105,2021-04-27 12:57:54,25-34,"Marketing, Advertising & PR",Market Research Project Manager,,75000,5000.0,USD,,"bonus is up to 7.5% of salary dependent on company, team, an individual performance",USA,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White,80000.0,8
5106,2021-04-27 12:57:54,25-34,Education (Primary/Secondary),High School Teacher,,61500,0.0,CAD,,,Canada,,"Guelph, Ontario",2 - 4 years,2 - 4 years,College degree,Man,White,49573.38674899342,2
5108,2021-04-27 12:57:57,55-64,"Accounting, Banking & Finance",Executive Assistant,,125000,2000.0,USD,,,United States,New York,New York,31 - 40 years,21 - 30 years,College degree,Woman,White,127000.0,21
5111,2021-04-27 12:58:08,55-64,Education (Higher Education),VP Business and Finance,,155000,0.0,USD,,,United States,New York,Upstate region,31 - 40 years,21 - 30 years,Master's degree,Woman,White,155000.0,21
5113,2021-04-27 12:58:11,55-64,Health care,Public Health Nurse,,100796,0.0,USD,,,USA,California,San Luis Obispo,41 years or more,41 years or more,College degree,Woman,White,100796.0,41
5115,2021-04-27 12:58:17,25-34,Education (Higher Education),Faculty PA,,23750,0.0,GBP,,,England,,Leeds,11 - 20 years,11 - 20 years,Master's degree,Non-binary,White,33025.09907529723,11
5117,2021-04-27 12:58:29,45-54,Business or Consulting,Senior Data Planner,"Within marketing and advertising, agency side",68000,0.0,GBP,,,United Kingdom,,London,21 - 30 years,11 - 20 years,College degree,Woman,White,94556.07314190365,11
5118,2021-04-27 12:58:32,55-64,Education (Primary/Secondary),TEACHER,,40000,0.0,GBP,,,UK,,SOUTHEND-ON-SEA,31 - 40 years,31 - 40 years,College degree,Woman,White,55621.21949523744,31
5119,2021-04-27 12:58:36,45-54,Nonprofits,Communications Specialist,,52000,0.0,USD,,,United States,California,Sacramento,21 - 30 years,8 - 10 years,Master's degree,Woman,White,52000.0,8
5120,2021-04-27 12:58:37,25-34,Business or Consulting,Senior Consultant,,52000,4000.0,EUR,,,Ireland,,Dublin,5-7 years,5-7 years,College degree,Woman,White,67701.12371775885,5
5122,2021-04-27 12:58:42,25-34,"Accounting, Banking & Finance",Audit Manager,Small Public Accounting Firm,97000,15000.0,USD,,,United States,Florida,Orlando,8 - 10 years,8 - 10 years,College degree,Woman,White,112000.0,8
5124,2021-04-27 12:58:46,45-54,Computing or Tech,Senior Data Analyst,"I'm really a programmer, not an analyst",66000,5000.0,USD,,Bonus is dependent on company performance - target 15% of salary.  2020 was given as stock rather than money.,US,Indiana,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White,71000.0,21
5125,2021-04-27 12:58:46,18-24,Nonprofits,Government affairs assistant,Work for a nonprofit trade org.,40200,0.0,USD,,"Last year I received 3 bonuses totaling $2600 all together. I think I got a lot of these at the recommendation of my old supervisor, who has since left, so I doubt I'll receive any extra bonuses this year.",United States,North Carolina,Raleigh,5-7 years,2 - 4 years,College degree,Woman,White,40200.0,2
5126,2021-04-27 12:58:47,35-44,Computing or Tech,Sr Database Administrator,,106000,0.0,USD,,,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College degree,Woman,White,106000.0,11
5127,2021-04-27 12:58:50,35-44,Law,Paralegal,,70000,8000.0,USD,,,USA,Florida,Tampa,11 - 20 years,8 - 10 years,Master's degree,Woman,White,78000.0,8
5128,2021-04-27 12:58:56,35-44,Education (Higher Education),Business Systems Analyst,,65000,0.0,USD,,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White,65000.0,11
5129,2021-04-27 12:58:57,25-34,Computing or Tech,software engineer,,95000,0.0,USD,,,usa,Maryland,remote,5-7 years,2 - 4 years,Master's degree,Woman,Black or African American,95000.0,2
5130,2021-04-27 12:58:59,35-44,Health care,Pathologist,,185000,10000.0,USD,,,USA,Michigan,Detroit,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,195000.0,2
5131,2021-04-27 12:59:01,55-64,Nonprofits,Executive director,,59500,0.0,USD,,,USA,Massachusetts,Cambridge,31 - 40 years,21 - 30 years,College degree,Woman,White,59500.0,21
5132,2021-04-27 12:59:03,25-34,Education (Higher Education),Program Assistant,Primarily administrative support for a department in Student Affairs,41600,0.0,USD,,,United States,Oregon,Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White,41600.0,2
5133,2021-04-27 12:59:08,25-34,Engineering or Manufacturing,Application Engineer,"I work as a coordinator/project manager between the end customer, internal sales, and internal design/manufacturing teams",87200,2000.0,USD,,,United States,Illinois,Saint Charles,8 - 10 years,8 - 10 years,College degree,Woman,White,89200.0,8
5134,2021-04-27 12:59:09,35-44,Government and Public Administration,Director of Purchasing and Contracts,,114400,0.0,USD,,,USA,Utah,Salt Lake City,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White,114400.0,5
5135,2021-04-27 12:59:10,25-34,Nonprofits,Program Manager,Public Health,55000,350.0,USD,,,USA,Maine,Portland,8 - 10 years,5-7 years,College degree,Woman,White,55350.0,5
5136,2021-04-27 12:59:13,35-44,"Accounting, Banking & Finance",Program Manager,,120000,12000.0,USD,,,USA,Florida,Orlando,11 - 20 years,8 - 10 years,College degree,Man,White,132000.0,8
5138,2021-04-27 12:59:16,25-34,Education (Primary/Secondary),Pre-K Teacher,"I work in a private childcare center, not a public or charter elementary school",33000,0.0,USD,,,USA,Massachusetts,Watertown,8 - 10 years,2 - 4 years,Master's degree,Woman,White,33000.0,2
5143,2021-04-27 12:59:21,35-44,Computing or Tech,Senior Consultant,,81600,3000.0,USD,,,United States,Louisiana,Baton Rouge,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,84600.0,8
5144,2021-04-27 12:59:25,25-34,Media & Digital,Product Manager,Product manager for an ecommerce company in charge of the digital product,127000,0.0,USD,,,United States,New York,New York City,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",127000.0,2
5145,2021-04-27 12:59:26,35-44,"Accounting, Banking & Finance",Manager,,58000,0.0,USD,,,U.S.,Minnesota,Remote,8 - 10 years,5-7 years,College degree,Woman,White,58000.0,5
5149,2021-04-27 12:59:33,25-34,Education (Higher Education),Research Specialist Associate,"Lab Manager, Researcher (Translational research at a University)",42000,0.0,USD,,,United States,Michigan,Ann Arbor,5-7 years,5-7 years,College degree,Woman,White,42000.0,5
5150,2021-04-27 12:59:39,25-34,Computing or Tech,Technical Support Engineer,,48000,1000.0,USD,,,USA,Wisconsin,Madison,2 - 4 years,2 - 4 years,College degree,Woman,White,49000.0,2
5151,2021-04-27 12:59:40,25-34,Law,Paralegal,,42000,0.0,USD,,,United States,Massachusetts,Boston,5-7 years,5-7 years,Some college,Woman,White,42000.0,5
5152,2021-04-27 12:59:51,25-34,Government and Public Administration,Financial Analyst,,110000,4000.0,USD,,,USA,District of Columbia,DC,5-7 years,5-7 years,Master's degree,Woman,White,114000.0,5
5153,2021-04-27 12:59:51,25-34,Nonprofits,Development Coordinator,,64260,0.0,USD,,,USA,New York,NYC,5-7 years,5-7 years,College degree,Woman,White,64260.0,5
5155,2021-04-27 12:59:57,55-64,Education (Higher Education),Administrative Systems Analyst,,51500,0.0,USD,,,United States,Illinois,rural college community,21 - 30 years,21 - 30 years,Some college,Woman,Another option not listed here or prefer not to answer,51500.0,21
5156,2021-04-27 12:59:58,35-44,Media & Digital,Associate Magazine Editor,Midlevel writer/editor for scientific association (nonprofit) magazine.,56000,1000.0,USD,,"I know my pay is very low, but the benefits are great and the workplace is flexible. (100% employer paid healthcare, 4+ weeks vacation, 11 paid holidays, 10 sick days, 403b contributions)",United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White,57000.0,8
5158,2021-04-27 13:00:00,35-44,Health care,Senior Technical Writer,Writing manuals for medical devices and developing regulatory labeling.,91000,9100.0,USD,,Bonus target is 10%. Sometimes it is more or less than that.,USA,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,College degree,Man,White,100100.0,5
5159,2021-04-27 13:00:01,35-44,Computing or Tech,"Manager, Business Intelligence",,211000,109000.0,USD,,"""additional"" compensation is in the form of equity - actual value depends on what happens if/when the company goes public",USA,California,San Francisco,11 - 20 years,8 - 10 years,Master's degree,Woman,White,320000.0,8
5160,2021-04-27 13:00:01,45-54,Engineering or Manufacturing,Airworthiness Engineer,,91000,2000.0,CAD,,,Canada,,"Toronto, ontario",21 - 30 years,21 - 30 years,College degree,Woman,Asian or Asian American,74964.63362042907,21
5161,2021-04-27 13:00:01,25-34,Health care,Technical Operations Manager,,33280,0.0,USD,,,United States,Colorado,Boulder,5-7 years,2 - 4 years,College degree,Woman,White,33280.0,2
5163,2021-04-27 13:00:02,25-34,Nonprofits,"Senior Manager, Fundraising",,77000,2000.0,USD,,,United States,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,College degree,Woman,White,79000.0,2
5164,2021-04-27 13:00:03,25-34,Education (Higher Education),Audit and Articulation Officer,,62000,0.0,CAD,,,Canada,,Kamloops,5-7 years,5-7 years,College degree,Woman,White,49976.42241361938,5
5166,2021-04-27 13:00:08,25-34,"Marketing, Advertising & PR",Copywriter,,50500,0.0,USD,,,United States,Virginia,Richmond,2 - 4 years,2 - 4 years,College degree,Woman,White,50500.0,2
