,age,country,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience,Latitude,Longitude
3354,45-54,USA,College Degree,Woman,Asian or Asian American,65000.0,11,40.0792,-98.8164
3355,25-34,USA,Master's degree,Woman,White,80000.0,8,40.0792,-98.8164
3356,55-64,USA,College Degree,Woman,White,127000.0,21,40.0792,-98.8164
3357,55-64,USA,Master's degree,Woman,White,155000.0,21,40.0792,-98.8164
3358,55-64,USA,College Degree,Woman,White,100796.0,41,40.0792,-98.8164
3359,45-54,USA,Master's degree,Woman,White,52000.0,8,40.0792,-98.8164
3360,25-34,USA,College Degree,Woman,White,112000.0,8,40.0792,-98.8164
3361,45-54,USA,Master's degree,Woman,White,71000.0,21,40.0792,-98.8164
3362,18-24,USA,College Degree,Woman,White,40200.0,2,40.0792,-98.8164
3363,35-44,USA,College Degree,Woman,White,106000.0,11,40.0792,-98.8164
3364,35-44,USA,Master's degree,Woman,White,78000.0,8,40.0792,-98.8164
3365,35-44,USA,Master's degree,Woman,White,65000.0,11,40.0792,-98.8164
3366,25-34,USA,Master's degree,Woman,Black or African American,95000.0,2,40.0792,-98.8164
3367,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,195000.0,2,40.0792,-98.8164
3368,55-64,USA,College Degree,Woman,White,59500.0,21,40.0792,-98.8164
3369,25-34,USA,Master's degree,Woman,White,41600.0,2,40.0792,-98.8164
3370,25-34,USA,College Degree,Woman,White,89200.0,8,40.0792,-98.8164
3371,35-44,USA,"Professional degree (MD, JD, etc.)",Man,White,114400.0,5,40.0792,-98.8164
3372,25-34,USA,College Degree,Woman,White,55350.0,5,40.0792,-98.8164
3373,35-44,USA,College Degree,Man,White,132000.0,8,40.0792,-98.8164
3374,25-34,USA,Master's degree,Woman,White,33000.0,2,40.0792,-98.8164
3375,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,84600.0,8,40.0792,-98.8164
3376,25-34,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",127000.0,2,40.0792,-98.8164
3377,35-44,USA,College Degree,Woman,White,58000.0,5,40.0792,-98.8164
3378,25-34,USA,College Degree,Woman,White,42000.0,5,40.0792,-98.8164
3379,25-34,USA,College Degree,Woman,White,49000.0,2,40.0792,-98.8164
3380,25-34,USA,College Degree,Woman,White,42000.0,5,40.0792,-98.8164
3381,25-34,USA,Master's degree,Woman,White,114000.0,5,40.0792,-98.8164
3382,25-34,USA,College Degree,Woman,White,64260.0,5,40.0792,-98.8164
3383,55-64,USA,College Degree,Woman,Another option not listed here or prefer not to answer,51500.0,21,40.0792,-98.8164
3384,35-44,USA,Master's degree,Woman,White,57000.0,8,40.0792,-98.8164
3385,35-44,USA,College Degree,Man,White,100100.0,5,40.0792,-98.8164
3386,35-44,USA,Master's degree,Woman,White,320000.0,8,40.0792,-98.8164
3387,25-34,USA,College Degree,Woman,White,33280.0,2,40.0792,-98.8164
3388,25-34,USA,College Degree,Woman,White,79000.0,2,40.0792,-98.8164
3389,25-34,USA,College Degree,Woman,White,50500.0,2,40.0792,-98.8164
3390,35-44,USA,College Degree,Woman,White,124800.0,21,40.0792,-98.8164
3391,35-44,USA,College Degree,Non-binary,White,83000.0,8,40.0792,-98.8164
3392,45-54,USA,College Degree,Woman,White,139500.0,21,40.0792,-98.8164
3393,25-34,USA,College Degree,Woman,Black or African American,46481.0,5,40.0792,-98.8164
3394,25-34,USA,College Degree,Woman,White,56000.0,2,40.0792,-98.8164
3395,55-64,USA,Master's degree,Man,White,141900.0,21,40.0792,-98.8164
3396,25-34,USA,College Degree,Man,White,130000.0,11,40.0792,-98.8164
3397,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,102000.0,11,40.0792,-98.8164
3398,35-44,USA,College Degree,Man,White,82344.0,8,40.0792,-98.8164
3399,25-34,USA,College Degree,Woman,White,150000.0,8,40.0792,-98.8164
3400,25-34,USA,College Degree,Woman,White,80000.0,8,40.0792,-98.8164
3401,35-44,USA,Master's degree,Woman,White,80000.0,11,40.0792,-98.8164
3402,35-44,USA,College Degree,Woman,White,64000.0,8,40.0792,-98.8164
3403,25-34,USA,Master's degree,Woman,White,97000.0,2,40.0792,-98.8164
3404,35-44,USA,Master's degree,Man,White,135000.0,2,40.0792,-98.8164
3405,25-34,USA,"Professional degree (MD, JD, etc.)",Woman,White,112000.0,5,40.0792,-98.8164
3406,25-34,USA,Master's degree,Woman,White,60240.0,5,40.0792,-98.8164
3407,25-34,USA,Master's degree,Woman,White,53000.0,5,40.0792,-98.8164
3408,35-44,USA,College Degree,Man,White,255000.0,1,40.0792,-98.8164
3409,25-34,USA,College Degree,Woman,White,96000.0,5,40.0792,-98.8164
3410,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,170000.0,11,40.0792,-98.8164
3411,35-44,USA,College Degree,Woman,Asian or Asian American,86000.0,5,40.0792,-98.8164
3412,25-34,USA,College Degree,Woman,White,46000.0,2,40.0792,-98.8164
3413,35-44,USA,College Degree,Woman,White,89300.0,11,40.0792,-98.8164
3414,18-24,USA,College Degree,Woman,Asian or Asian American,46310.0,1,40.0792,-98.8164
3415,35-44,USA,College Degree,Man,White,95000.0,5,40.0792,-98.8164
3416,25-34,USA,Master's degree,Woman,White,142000.0,5,40.0792,-98.8164
3417,18-24,USA,College Degree,Woman,White,142000.0,2,40.0792,-98.8164
3418,35-44,USA,Master's degree,Woman,White,50000.0,11,40.0792,-98.8164
3419,35-44,USA,Master's degree,Woman,White,77000.0,11,40.0792,-98.8164
3420,45-54,USA,Master's degree,Woman,White,130000.0,11,40.0792,-98.8164
3421,25-34,USA,Master's degree,Woman,White,62000.0,5,40.0792,-98.8164
3422,35-44,USA,PhD,Woman,White,95000.0,11,40.0792,-98.8164
3423,25-34,USA,College Degree,Woman,White,45000.0,8,40.0792,-98.8164
3424,25-34,USA,Master's degree,Woman,White,52490.0,8,40.0792,-98.8164
3425,35-44,USA,College Degree,Woman,White,74786.0,8,40.0792,-98.8164
3426,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,440000.0,8,40.0792,-98.8164
3427,35-44,USA,PhD,Man,White,71750.0,2,40.0792,-98.8164
3428,25-34,USA,Master's degree,Woman,White,60000.0,5,40.0792,-98.8164
3429,25-34,USA,High School,Woman,White,99500.0,5,40.0792,-98.8164
3430,35-44,USA,PhD,Woman,White,154000.0,8,40.0792,-98.8164
3431,35-44,USA,Master's degree,Woman,White,176000.0,11,40.0792,-98.8164
3432,25-34,USA,"Professional degree (MD, JD, etc.)",Man,White,113300.0,5,40.0792,-98.8164
3433,55-64,USA,"Professional degree (MD, JD, etc.)",Woman,White,102000.0,31,40.0792,-98.8164
3434,35-44,USA,College Degree,Woman,White,46000.0,5,40.0792,-98.8164
3435,25-34,USA,Master's degree,Woman,White,83000.0,8,40.0792,-98.8164
3436,45-54,USA,Master's degree,Woman,White,97000.0,11,40.0792,-98.8164
3437,45-54,USA,PhD,Woman,White,45000.0,11,40.0792,-98.8164
3438,25-34,USA,Master's degree,Non-binary,White,55000.0,2,40.0792,-98.8164
3439,35-44,USA,College Degree,Man,White,153000.0,11,40.0792,-98.8164
3440,25-34,USA,PhD,Woman,White,72500.0,5,40.0792,-98.8164
3441,35-44,USA,College Degree,Woman,White,50000.0,5,40.0792,-98.8164
3442,35-44,USA,Master's degree,Woman,Another option not listed here or prefer not to answer,85000.0,11,40.0792,-98.8164
3443,35-44,USA,Master's degree,Woman,White,106559.0,11,40.0792,-98.8164
3444,25-34,USA,College Degree,Woman,White,51000.0,5,40.0792,-98.8164
3445,35-44,USA,College Degree,Woman,White,39500.0,2,40.0792,-98.8164
3446,25-34,USA,College Degree,Woman,White,113000.0,5,40.0792,-98.8164
3447,35-44,USA,Master's degree,Woman,White,77443.0,11,40.0792,-98.8164
3448,35-44,USA,College Degree,Woman,Black or African American,67800.0,2,40.0792,-98.8164
3449,25-34,USA,College Degree,Woman,White,37500.0,2,40.0792,-98.8164
3450,25-34,USA,Master's degree,Non-binary,White,160000.0,11,40.0792,-98.8164
3451,25-34,USA,Master's degree,Woman,White,68000.0,11,40.0792,-98.8164
3452,35-44,USA,College Degree,Woman,White,172000.0,11,40.0792,-98.8164
3453,35-44,USA,Master's degree,Woman,White,160000.0,11,40.0792,-98.8164
3454,25-34,USA,Master's degree,Non-binary,White,63550.0,8,40.0792,-98.8164
3455,25-34,USA,Master's degree,Woman,White,80000.0,1,40.0792,-98.8164
3456,45-54,USA,Master's degree,Woman,White,50000.0,21,40.0792,-98.8164
3457,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,102000.0,5,40.0792,-98.8164
3458,25-34,USA,College Degree,Woman,White,56000.0,2,40.0792,-98.8164
3459,25-34,USA,College Degree,Woman,White,70000.0,2,40.0792,-98.8164
3460,35-44,USA,Master's degree,Woman,White,224700.0,11,40.0792,-98.8164
3461,25-34,USA,College Degree,Woman,White,48200.0,2,40.0792,-98.8164
3462,35-44,USA,College Degree,Woman,White,39000.0,1,40.0792,-98.8164
3463,45-54,USA,College Degree,Woman,White,120000.0,21,40.0792,-98.8164
3464,35-44,USA,College Degree,Woman,White,94000.0,11,40.0792,-98.8164
3465,35-44,USA,PhD,Woman,White,134000.0,11,40.0792,-98.8164
3466,35-44,USA,Master's degree,Woman,White,83000.0,11,40.0792,-98.8164
3467,45-54,USA,College Degree,Woman,White,82000.0,21,40.0792,-98.8164
3468,35-44,USA,"Professional degree (MD, JD, etc.)",Prefer not to answer,Another option not listed here or prefer not to answer,110000.0,11,40.0792,-98.8164
3469,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer,285000.0,8,40.0792,-98.8164
3470,25-34,USA,College Degree,Woman,White,75000.0,5,40.0792,-98.8164
3471,45-54,USA,PhD,Woman,White,123200.0,21,40.0792,-98.8164
3472,45-54,USA,Master's degree,Woman,White,98500.0,21,40.0792,-98.8164
3473,35-44,USA,College Degree,Woman,White,122800.0,2,40.0792,-98.8164
3474,35-44,USA,Master's degree,Woman,White,75000.0,11,40.0792,-98.8164
3475,25-34,USA,Master's degree,Woman,White,55000.0,5,40.0792,-98.8164
3476,45-54,USA,College Degree,Woman,White,49000.0,8,40.0792,-98.8164
3477,35-44,USA,Master's degree,Woman,White,52000.0,11,40.0792,-98.8164
3478,65 or over,USA,College Degree,Woman,White,62500.0,5,40.0792,-98.8164
3479,25-34,USA,Master's degree,Woman,White,78000.0,5,40.0792,-98.8164
3480,35-44,USA,Master's degree,Prefer not to answer,Another option not listed here or prefer not to answer,130000.0,2,40.0792,-98.8164
3481,25-34,USA,College Degree,Woman,White,56000.0,2,40.0792,-98.8164
3482,55-64,USA,College Degree,Woman,White,65300.0,21,40.0792,-98.8164
3483,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,115000.0,8,40.0792,-98.8164
3484,45-54,USA,College Degree,Woman,White,94550.0,8,40.0792,-98.8164
3485,25-34,USA,Master's degree,Woman,White,47200.0,5,40.0792,-98.8164
3486,25-34,USA,Master's degree,Woman,White,117500.0,8,40.0792,-98.8164
3487,25-34,USA,Master's degree,Woman,White,56000.0,5,40.0792,-98.8164
3488,35-44,USA,Master's degree,Woman,White,102000.0,8,40.0792,-98.8164
3489,25-34,USA,Master's degree,Woman,White,249000.0,2,40.0792,-98.8164
3490,25-34,USA,College Degree,Woman,White,54000.0,2,40.0792,-98.8164
3491,45-54,USA,College Degree,Woman,White,180000.0,11,40.0792,-98.8164
3492,25-34,USA,Master's degree,Man,White,90000.0,5,40.0792,-98.8164
3493,55-64,USA,Master's degree,Woman,White,60000.0,21,40.0792,-98.8164
3494,25-34,USA,Master's degree,Woman,White,187000.0,5,40.0792,-98.8164
3495,18-24,USA,College Degree,Non-binary,White,99000.0,2,40.0792,-98.8164
3496,35-44,USA,College Degree,Woman,White,79000.0,5,40.0792,-98.8164
3497,25-34,USA,College Degree,Woman,White,70000.0,5,40.0792,-98.8164
3498,25-34,USA,College Degree,Woman,Native American or Alaska Native,33050.0,2,40.0792,-98.8164
3499,25-34,USA,College Degree,Woman,White,40000.0,2,40.0792,-98.8164
3500,25-34,USA,College Degree,Woman,White,54800.0,5,40.0792,-98.8164
3501,35-44,USA,College Degree,Man,White,103000.0,11,40.0792,-98.8164
3502,35-44,USA,PhD,Woman,"Hispanic, Latino, or Spanish origin",147000.0,11,40.0792,-98.8164
3503,35-44,USA,College Degree,Woman,White,49920.0,11,40.0792,-98.8164
3504,25-34,USA,College Degree,Woman,White,112000.0,2,40.0792,-98.8164
3505,25-34,USA,College Degree,Woman,White,43264.0,5,40.0792,-98.8164
3506,35-44,USA,College Degree,Woman,White,45000.0,5,40.0792,-98.8164
3507,18-24,USA,College Degree,Woman,Asian or Asian American,60000.0,1,40.0792,-98.8164
3508,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,230000.0,8,40.0792,-98.8164
3509,25-34,USA,College Degree,Woman,White,38000.0,8,40.0792,-98.8164
3510,45-54,USA,College Degree,Woman,White,128000.0,11,40.0792,-98.8164
3511,45-54,USA,PhD,Woman,White,102000.0,11,40.0792,-98.8164
3512,45-54,USA,PhD,Woman,White,104000.0,11,40.0792,-98.8164
3513,35-44,USA,College Degree,Woman,White,68280.0,11,40.0792,-98.8164
3514,25-34,USA,College Degree,Woman,White,61500.0,2,40.0792,-98.8164
3515,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,50500.0,11,40.0792,-98.8164
3516,25-34,USA,Master's degree,Woman,White,90000.0,5,40.0792,-98.8164
3517,35-44,USA,PhD,Woman,White,95920.0,2,40.0792,-98.8164
3518,25-34,USA,College Degree,Woman,White,115000.0,5,40.0792,-98.8164
3519,25-34,USA,College Degree,Woman,Asian or Asian American,86500.0,2,40.0792,-98.8164
3520,35-44,USA,Master's degree,Man,White,250000.0,5,40.0792,-98.8164
3521,35-44,USA,College Degree,Woman,White,156000.0,8,40.0792,-98.8164
3522,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,85000.0,11,40.0792,-98.8164
3523,35-44,USA,Master's degree,Woman,White,99000.0,5,40.0792,-98.8164
3524,55-64,USA,College Degree,Woman,White,78600.0,11,40.0792,-98.8164
3525,55-64,USA,Master's degree,Woman,White,170000.0,11,40.0792,-98.8164
3526,35-44,USA,Master's degree,Woman,White,68000.0,11,40.0792,-98.8164
3527,35-44,USA,College Degree,Woman,White,41500.0,2,40.0792,-98.8164
3528,25-34,USA,Master's degree,Woman,White,77293.0,11,40.0792,-98.8164
3529,25-34,USA,College Degree,Woman,White,69205.0,5,40.0792,-98.8164
3530,55-64,USA,College Degree,Prefer not to answer,Another option not listed here or prefer not to answer,57750.0,31,40.0792,-98.8164
3531,35-44,USA,College Degree,Woman,White,63960.0,11,40.0792,-98.8164
3532,25-34,USA,College Degree,Woman,White,61000.0,5,40.0792,-98.8164
3533,45-54,USA,Master's degree,Woman,White,71000.0,21,40.0792,-98.8164
3534,25-34,USA,Master's degree,Woman,White,52500.0,2,40.0792,-98.8164
3535,35-44,USA,Master's degree,Woman,White,93000.0,11,40.0792,-98.8164
3536,35-44,USA,Master's degree,Woman,Native American or Alaska Native,78000.0,8,40.0792,-98.8164
3537,55-64,USA,Master's degree,Woman,White,96000.0,21,40.0792,-98.8164
3538,55-64,USA,Master's degree,Woman,White,99000.0,21,40.0792,-98.8164
3539,25-34,USA,College Degree,Woman,White,57600.0,8,40.0792,-98.8164
3540,35-44,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",131000.0,21,40.0792,-98.8164
3541,18-24,USA,College Degree,Woman,White,35265.0,1,40.0792,-98.8164
3542,35-44,USA,Master's degree,Woman,White,92500.0,11,40.0792,-98.8164
3543,35-44,USA,Master's degree,Woman,White,70451.0,5,40.0792,-98.8164
3544,25-34,USA,Master's degree,Woman,White,52000.0,5,40.0792,-98.8164
3545,25-34,USA,Master's degree,Woman,White,145000.0,8,40.0792,-98.8164
3546,25-34,USA,College Degree,Non-binary,White,58000.0,5,40.0792,-98.8164
3547,45-54,USA,PhD,Woman,White,55000.0,11,40.0792,-98.8164
3548,35-44,USA,Master's degree,Man,White,78700.0,5,40.0792,-98.8164
3549,25-34,USA,College Degree,Non-binary,White,69000.0,8,40.0792,-98.8164
3550,35-44,USA,Master's degree,Woman,White,74000.0,11,40.0792,-98.8164
3551,25-34,USA,Master's degree,Woman,White,73000.0,5,40.0792,-98.8164
3552,35-44,USA,College Degree,Man,White,173000.0,11,40.0792,-98.8164
3553,35-44,USA,Master's degree,Woman,White,160000.0,11,40.0792,-98.8164
3554,25-34,USA,College Degree,Woman,White,71700.0,2,40.0792,-98.8164
3555,35-44,USA,College Degree,Man,White,140000.0,8,40.0792,-98.8164
3556,25-34,USA,College Degree,Woman,White,129000.0,11,40.0792,-98.8164
3557,25-34,USA,College Degree,Woman,White,55000.0,5,40.0792,-98.8164
3558,25-34,USA,College Degree,Man,White,71488.0,2,40.0792,-98.8164
3559,35-44,USA,College Degree,Woman,White,78000.0,11,40.0792,-98.8164
3560,18-24,USA,College Degree,Woman,Asian or Asian American,82500.0,2,40.0792,-98.8164
3561,35-44,USA,College Degree,Woman,White,40560.0,5,40.0792,-98.8164
3562,55-64,USA,College Degree,Woman,White,110000.0,21,40.0792,-98.8164
3563,35-44,USA,"Professional degree (MD, JD, etc.)",Prefer not to answer,Another option not listed here or prefer not to answer,91000.0,5,40.0792,-98.8164
3564,25-34,USA,College Degree,Woman,White,99000.0,2,40.0792,-98.8164
3565,25-34,USA,College Degree,Man,White,150000.0,8,40.0792,-98.8164
3566,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,148000.0,8,40.0792,-98.8164
3567,25-34,USA,Master's degree,Woman,White,117000.0,2,40.0792,-98.8164
3568,25-34,USA,College Degree,Woman,White,82500.0,5,40.0792,-98.8164
3569,25-34,USA,College Degree,Woman,White,47000.0,5,40.0792,-98.8164
3570,25-34,USA,Master's degree,Woman,White,65000.0,2,40.0792,-98.8164
3571,35-44,USA,College Degree,Woman,White,71500.0,8,40.0792,-98.8164
3572,35-44,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",54000.0,8,40.0792,-98.8164
3573,25-34,USA,College Degree,Woman,White,50000.0,8,40.0792,-98.8164
3574,25-34,USA,College Degree,Man,White,150000.0,8,40.0792,-98.8164
3575,35-44,USA,PhD,Woman,White,156843.0,8,40.0792,-98.8164
3576,45-54,USA,Master's degree,Woman,White,46758.0,2,40.0792,-98.8164
3577,35-44,USA,Master's degree,Woman,White,59280.0,11,40.0792,-98.8164
3578,25-34,USA,College Degree,Woman,White,125000.0,8,40.0792,-98.8164
3579,55-64,USA,Master's degree,Woman,White,41750.0,2,40.0792,-98.8164
3580,35-44,USA,College Degree,Woman,White,131000.0,11,40.0792,-98.8164
3581,35-44,USA,College Degree,Woman,White,162000.0,11,40.0792,-98.8164
3582,25-34,USA,College Degree,Woman,Black or African American,147709.0,11,40.0792,-98.8164
3583,45-54,USA,College Degree,Woman,White,77000.0,21,40.0792,-98.8164
3584,25-34,USA,Master's degree,Woman,White,102000.0,2,40.0792,-98.8164
3585,35-44,USA,Master's degree,Woman,White,93328.0,8,40.0792,-98.8164
3586,35-44,USA,College Degree,Woman,White,62000.0,11,40.0792,-98.8164
3587,35-44,USA,College Degree,Woman,White,74000.0,8,40.0792,-98.8164
3588,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,230000.0,8,40.0792,-98.8164
3589,35-44,USA,Master's degree,Woman,White,72750.0,11,40.0792,-98.8164
3590,25-34,USA,College Degree,Woman,White,133000.0,5,40.0792,-98.8164
3591,25-34,USA,Master's degree,Woman,White,55000.0,2,40.0792,-98.8164
3592,25-34,USA,Master's degree,Woman,White,36000.0,5,40.0792,-98.8164
3593,25-34,USA,College Degree,Woman,White,145000.0,8,40.0792,-98.8164
3594,35-44,USA,"Professional degree (MD, JD, etc.)",Non-binary,White,76350.0,11,40.0792,-98.8164
3595,35-44,USA,College Degree,Woman,White,113691.0,8,40.0792,-98.8164
3596,25-34,USA,College Degree,Woman,White,89500.0,2,40.0792,-98.8164
3597,35-44,USA,Master's degree,Woman,Native American or Alaska Native,41641.0,8,40.0792,-98.8164
3598,25-34,USA,Master's degree,Woman,White,50000.0,5,40.0792,-98.8164
3599,55-64,USA,PhD,Man,White,205000.0,31,40.0792,-98.8164
3600,25-34,USA,"Professional degree (MD, JD, etc.)",Woman,White,155000.0,8,40.0792,-98.8164
3601,25-34,USA,PhD,Woman,White,41204.0,1,40.0792,-98.8164
3602,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,58000.0,8,40.0792,-98.8164
3603,25-34,USA,PhD,Woman,White,62500.0,5,40.0792,-98.8164
3604,25-34,USA,College Degree,Woman,White,49500.0,5,40.0792,-98.8164
3605,25-34,USA,"Professional degree (MD, JD, etc.)",Woman,Middle Eastern or Northern African,200000.0,2,40.0792,-98.8164
3606,55-64,USA,College Degree,Man,White,244000.0,31,40.0792,-98.8164
3607,35-44,USA,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",65000.0,11,40.0792,-98.8164
3608,25-34,USA,College Degree,Woman,White,90000.0,5,40.0792,-98.8164
3609,35-44,USA,Master's degree,Woman,White,64000.0,11,40.0792,-98.8164
3610,55-64,USA,College Degree,Woman,White,62000.0,31,40.0792,-98.8164
3611,25-34,USA,Master's degree,Woman,White,50000.0,2,40.0792,-98.8164
3612,35-44,USA,Master's degree,Woman,White,82000.0,8,40.0792,-98.8164
3613,35-44,USA,College Degree,Woman,White,69000.0,11,40.0792,-98.8164
3614,35-44,USA,College Degree,Woman,White,143000.0,2,40.0792,-98.8164
3615,25-34,USA,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,132000.0,5,40.0792,-98.8164
3616,45-54,USA,Master's degree,Woman,White,230500.0,21,40.0792,-98.8164
3617,55-64,USA,College Degree,Woman,White,68556.0,21,40.0792,-98.8164
3618,25-34,USA,Master's degree,Prefer not to answer,Another option not listed here or prefer not to answer,65000.0,5,40.0792,-98.8164
3619,35-44,USA,Master's degree,Woman,White,89000.0,1,40.0792,-98.8164
3620,45-54,USA,College Degree,Woman,White,122000.0,11,40.0792,-98.8164
3621,55-64,USA,College Degree,Woman,Black or African American,104000.0,21,40.0792,-98.8164
3622,25-34,USA,Master's degree,Woman,White,46000.0,2,40.0792,-98.8164
3623,35-44,USA,PhD,Woman,White,77500.0,5,40.0792,-98.8164
3624,25-34,USA,College Degree,Woman,White,32000.0,2,40.0792,-98.8164
3625,55-64,USA,College Degree,Woman,White,145000.0,31,40.0792,-98.8164
3626,35-44,USA,College Degree,Woman,White,131000.0,11,40.0792,-98.8164
3627,25-34,USA,College Degree,Woman,Asian or Asian American,84000.0,2,40.0792,-98.8164
3628,25-34,USA,PhD,Woman,White,55000.0,5,40.0792,-98.8164
3629,25-34,USA,Master's degree,Woman,White,87250.0,8,40.0792,-98.8164
3630,25-34,USA,College Degree,Woman,White,100000.0,5,40.0792,-98.8164
3631,35-44,USA,College Degree,Woman,White,66975.0,5,40.0792,-98.8164
3632,35-44,USA,Master's degree,Woman,White,160000.0,8,40.0792,-98.8164
3633,45-54,USA,Master's degree,Woman,White,91000.0,21,40.0792,-98.8164
3634,25-34,USA,"Professional degree (MD, JD, etc.)",Woman,White,89000.0,2,40.0792,-98.8164
3635,45-54,USA,Master's degree,Woman,White,155000.0,11,40.0792,-98.8164
3636,35-44,USA,Master's degree,Woman,White,63000.0,11,40.0792,-98.8164
3637,45-54,USA,College Degree,Woman,White,76000.0,21,40.0792,-98.8164
3638,55-64,USA,"Professional degree (MD, JD, etc.)",Woman,White,72000.0,21,40.0792,-98.8164
3639,45-54,USA,Master's degree,Woman,White,92000.0,11,40.0792,-98.8164
3640,65 or over,USA,College Degree,Woman,White,73300.0,21,40.0792,-98.8164
3641,35-44,USA,College Degree,Woman,Another option not listed here or prefer not to answer,95000.0,2,40.0792,-98.8164
3642,35-44,USA,College Degree,Woman,White,98908.0,11,40.0792,-98.8164
3643,35-44,USA,College Degree,Man,White,68000.0,2,40.0792,-98.8164
3644,45-54,USA,College Degree,Woman,White,56160.0,11,40.0792,-98.8164
3645,25-34,USA,College Degree,Man,White,75000.0,5,40.0792,-98.8164
3646,35-44,USA,College Degree,Woman,Asian or Asian American,84622.0,11,40.0792,-98.8164
3647,55-64,USA,Master's degree,Woman,White,127000.0,11,40.0792,-98.8164
3648,25-34,USA,Master's degree,Woman,White,130000.0,5,40.0792,-98.8164
3649,35-44,USA,College Degree,Woman,White,28200.0,11,40.0792,-98.8164
3650,35-44,USA,College Degree,Man,White,156500.0,11,40.0792,-98.8164
3651,35-44,USA,Master's degree,Woman,White,83000.0,11,40.0792,-98.8164
3652,25-34,USA,Master's degree,Woman,White,205000.0,5,40.0792,-98.8164
3653,35-44,USA,College Degree,Woman,White,72592.0,21,40.0792,-98.8164
3654,18-24,USA,College Degree,Woman,White,41050.0,2,40.0792,-98.8164
3655,35-44,USA,College Degree,Woman,White,134000.0,11,40.0792,-98.8164
3656,35-44,USA,PhD,Woman,White,130000.0,11,40.0792,-98.8164
3657,25-34,USA,College Degree,Woman,White,59000.0,8,40.0792,-98.8164
3658,35-44,USA,Master's degree,Woman,White,110000.0,11,40.0792,-98.8164
3659,25-34,USA,College Degree,Woman,White,54000.0,5,40.0792,-98.8164
3660,45-54,USA,College Degree,Woman,White,73000.0,21,40.0792,-98.8164
3661,45-54,USA,PhD,Prefer not to answer,"Hispanic, Latino, or Spanish origin",110000.0,21,40.0792,-98.8164
3662,25-34,USA,College Degree,Woman,White,40000.0,5,40.0792,-98.8164
3663,25-34,USA,College Degree,Woman,White,130000.0,8,40.0792,-98.8164
3664,35-44,USA,Master's degree,Woman,White,60000.0,11,40.0792,-98.8164
3665,35-44,USA,College Degree,Woman,White,31000.0,5,40.0792,-98.8164
3666,35-44,USA,Master's degree,Woman,White,141600.0,11,40.0792,-98.8164
3667,35-44,USA,PhD,Woman,Asian or Asian American,118000.0,2,40.0792,-98.8164
3668,25-34,USA,Master's degree,Woman,White,55000.0,5,40.0792,-98.8164
3669,25-34,USA,"Professional degree (MD, JD, etc.)",Woman,White,205000.0,5,40.0792,-98.8164
3670,25-34,USA,Master's degree,Woman,White,66000.0,8,40.0792,-98.8164
3671,35-44,USA,College Degree,Woman,White,87000.0,2,40.0792,-98.8164
3672,35-44,USA,Master's degree,Woman,White,142000.0,8,40.0792,-98.8164
3673,65 or over,USA,College Degree,Woman,White,30000.0,5,40.0792,-98.8164
3674,25-34,USA,College Degree,Woman,White,72000.0,5,40.0792,-98.8164
3675,25-34,USA,Master's degree,Woman,White,88000.0,11,40.0792,-98.8164
3676,25-34,USA,College Degree,Woman,White,52500.0,5,40.0792,-98.8164
3677,35-44,USA,College Degree,Man,White,66000.0,11,40.0792,-98.8164
3678,25-34,USA,College Degree,Woman,Asian or Asian American,73000.0,2,40.0792,-98.8164
3679,35-44,USA,College Degree,Man,White,120000.0,11,40.0792,-98.8164
3680,45-54,USA,College Degree,Woman,White,24900.0,11,40.0792,-98.8164
3681,55-64,USA,Master's degree,Woman,White,283000.0,21,40.0792,-98.8164
3682,35-44,USA,College Degree,Woman,White,193500.0,11,40.0792,-98.8164
3683,45-54,USA,College Degree,Woman,White,85000.0,8,40.0792,-98.8164
3684,25-34,USA,College Degree,Man,White,34320.0,2,40.0792,-98.8164
3685,35-44,USA,Master's degree,Woman,White,128535.0,11,40.0792,-98.8164
3686,25-34,USA,Master's degree,Woman,White,58500.0,5,40.0792,-98.8164
3687,25-34,USA,Master's degree,Man,White,84000.0,8,40.0792,-98.8164
3688,25-34,USA,College Degree,Woman,White,85000.0,5,40.0792,-98.8164
3689,25-34,USA,College Degree,Woman,White,46000.0,8,40.0792,-98.8164
